SMILES,ALERTS,ALOGP,AROM,HBA,HBD,MW,PSA,ROTB,QED
CC1N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N(C)C1=O,2,2.93620,2,3,0,327.31500,75.81000,2,0.94861
COc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,1,2.42180,2,5,0,343.38300,73.66000,2,0.90374
Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccn1)=NC2,0,3.08422,3,3,0,354.21100,55.96000,1,0.86009
CN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,0,2.61130,2,2,1,318.73500,52.90000,1,0.98788
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1F)=NC2,2,2.97402,3,4,0,337.31400,86.21000,2,0.89406
O=C1NCC2=C1CN=C(c1ccccc1Cl)c1cc(Cl)ccc12,0,3.72780,2,1,1,343.21300,41.46000,1,0.90652
O=C1CN=C(c2ccccc2)c2ccccc2N1,0,2.47610,2,1,1,236.27400,41.46000,1,0.72600
COC(=O)c1ncn2c1CN=C(c1ccccc1F)c1cc(Cl)ccc1-2,1,3.80240,3,3,0,369.78300,56.48000,2,0.78047
Cc1nnc2n1-c1ccc(I)cc1C(c1ccccc1F)=NC2,1,3.67042,3,2,0,418.21300,43.07000,1,0.50310
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(O)CO,0,2.01630,2,3,2,362.78800,73.13000,4,0.82129
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=CC2,0,4.35602,3,2,0,325.77400,30.71000,1,0.94398
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,3.50810,3,2,1,341.77300,50.41000,2,0.91318
CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Cl)ccc1-2,1,2.99310,2,4,0,345.78600,64.43000,2,0.90369
COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2,2.38270,2,4,0,325.32400,85.04000,4,0.93537
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,3.37120,2,2,0,300.74500,40.62000,1,0.98913
CC1N=C(c2ccccc2)c2cc(Cl)ccc2N(Cl)C1=O,1,4.06630,2,1,0,319.19100,32.67000,1,0.96678
O=C1CN=C(c2ccccc2)c2cc(Br)ccc2N1,0,3.23860,2,1,1,315.17000,41.46000,1,0.98430
O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,2,2.52340,2,3,1,299.26100,84.60000,2,0.95175
Clc1ccc2c(c1)-c1ncnn1Cc1c(Cl)ncn1-2,0,2.79930,4,3,0,292.12900,48.53000,0,0.94946
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,0,3.86730,2,3,1,363.24400,41.57000,1,0.81344
CN1CCN(C=C2N=C3CN=C(c4ccccc4)c4cc(Br)ccc4N3C2=O)CC1,1,3.13400,2,3,0,464.36700,51.51000,2,0.31445
CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2N(C(=O)NC)C1=O,2,2.93420,2,4,1,417.82400,88.07000,3,0.52246
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,4.32422,3,1,0,325.77400,30.18000,1,0.93997
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,2,5.02620,2,2,0,386.80100,15.60000,2,0.64196
CN1C(=O)CN=C(c2ccccc2)c2cc(C#N)ccc21,0,2.37208,2,2,0,275.31100,56.46000,1,0.93939
CNCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,2.99110,3,3,1,337.81400,55.10000,3,0.93026
CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0,4.37130,2,3,0,344.79800,49.85000,2,0.90717
